,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
1974-01-01,0.00786740053839835,-0.7041205150186621,0.16417217137422535,0.997199586846587,-0.3036015779397261,-0.33755304058207786,0.40968764622875364,0.7663483285525021
1974-02-01,-0.024553785668212702,-0.5612158507006719,0.30373974188817554,0.9159287732912746,-0.24108440662018404,-0.3688643919505217,0.27295366036378277,0.7030962593963574
1974-03-01,-0.022317251749874978,-0.6103010186702988,0.3000382750060757,1.018863037200263,-0.40601606159689263,-0.34141564699429366,0.31468827353332185,0.7464603932717003
1974-04-01,0.05669947134572467,-0.5097260251448548,0.414560414010269,0.9142653281512572,-0.31498155310086284,-0.4791971930217805,0.19596606298594854,0.7224134947742982
1974-05-01,-0.20520663293078353,-0.33476111099103434,0.6343955116200908,0.8756085176912329,-0.4339049295390065,-0.2319962193258015,-0.15799301029393595,0.8538578737692384
1974-06-01,-0.2061200138012581,-0.20021659133373604,0.29488584939295337,0.8550106495732852,-0.29624623398708194,-0.3023966623206729,-0.10559133377641725,0.960674336252928
1974-07-01,-0.22398811635090923,-0.1509729916322945,0.45054736590303957,0.653017153138671,-0.05713357658158147,-0.40977954392490146,-0.1754843052765069,0.9137940147244836
1974-08-01,-0.3416662223678514,-0.3072282036600237,0.7495575625615896,1.152535593729066,-0.668438458024937,-0.5504214479367522,-0.16448125323766977,1.1301424289365787
1974-09-01,-0.3808204367658275,-0.041067160477231024,0.5719369103854737,1.0640727626990145,-0.5871634668859063,-0.5833216978085001,-0.17090948803097913,1.1272725768839558
1974-10-01,-0.5351106634712826,0.04603875822738779,0.9277548487394172,1.1732623662854955,-1.0839873013684245,-0.9317694924350692,-0.3723100158240479,1.776121499846524
1974-11-01,-0.33422052170110156,0.1468209244512073,0.8033230220261948,0.6741311743697236,-0.11428629735710527,-0.8690738186595803,-0.32935058701836123,1.0226561038890232
1974-12-01,-0.43413130505559816,0.16572082196644233,1.048467635453251,0.7868641559545707,-0.40910260744967797,-0.8691382993849013,-0.4568133731108249,1.1681329716267392
1975-01-01,-0.5484967402497204,0.4142275929586283,1.0004640018545639,0.9910736811433243,-0.6335847230564795,-0.9563558376559588,-0.40557678016680093,1.1382488051724429
1975-02-01,-0.39053981888644146,0.30008588165494055,0.758047942321795,0.738608762579638,-0.5102372068331102,-0.3791698227016672,-0.28437731663356014,0.7675815784984052
1975-03-01,-0.3207437173572211,0.35725536225234755,0.5877167265817778,0.6284283652393157,-0.4320071257807836,-0.24745766429123806,-0.30257736193235013,0.7293854152881523
1975-04-01,-0.2882444283439605,0.3112832185483325,0.5067667153413955,0.479270955845563,-0.2516107955150251,-0.30816760341101157,-0.14020331343359854,0.6909052509683047
1975-05-01,-0.26062155573326756,0.3730989706603416,0.39065744308422057,0.43426103381868997,-0.18805736462326106,-0.2821642375154806,-0.06571417705597021,0.5985398873647284
1975-06-01,-0.2001432992059588,0.21819227887915815,0.4896258334196718,0.35090475899930784,0.017108924583196794,-0.2908804704425406,-0.15945002357191954,0.5746419973390842
1975-07-01,-0.21004111104409418,0.24352432462061335,0.465287546782716,0.3711704723844529,0.027754464522300015,-0.30706833600929606,-0.1480579365376657,0.5574305752809738
1975-08-01,-0.23894816768794683,0.24649180636054902,0.4305161118583775,0.4498065302045765,0.014031853471767386,-0.3641955593210927,-0.09644421365898231,0.5587416387727511
1975-09-01,-0.2046969261156107,0.18025108439296034,0.2616940235302989,0.5310274087528255,-0.1262823494826546,-0.2373921330181988,-0.01647672968856906,0.6118756216289486
1975-10-01,-0.18312007091137805,0.2785540497644423,0.15430201057860438,0.4781417270249235,-0.06142464649683044,-0.2225280507813857,0.021869117803059057,0.5342058630185635
1975-11-01,-0.28713468605511094,0.34447797825417026,0.29881389423777693,0.43778127610569006,-0.10696728819890455,-0.2562932211210115,0.010276184204340233,0.55904586257305
1975-12-01,-0.24282127059238612,0.35438495608608567,0.24083987780960903,0.48544238526373606,-0.09156804342549885,-0.2646470902683733,0.010016932432190206,0.5083522526946377
1976-01-01,-0.24811485576474057,0.3408965248206792,0.29673620146167234,0.4272514431697102,-0.05673493280733988,-0.24217397354240447,-0.02646071713160325,0.5086003097940264
1976-02-01,-0.2549377595486721,0.33745458614763235,0.29041130706889406,0.4274316380197709,-0.03132192908822562,-0.23945817137770134,-0.036338274851841434,0.506758603630143
1976-03-01,-0.2401208002680077,0.32697153985734195,0.25738374980260104,0.4781064450662822,-0.05917724969398064,-0.2439784364424355,-0.011666282680276752,0.49248103435847534
1976-04-01,-0.2636241652691577,0.3562970810109537,0.3020308810560013,0.5105599240538191,-0.0641441546245769,-0.24643968762681134,-0.07733311153433747,0.48265323293410933
1976-05-01,-0.3597332049642175,0.37207681089673006,0.40584102439750636,0.5897209145694935,-0.14452638510444982,-0.2381674123840155,-0.1492091105764591,0.523997363165412
1976-06-01,-0.29571945847405434,0.33023652014003047,0.40311699830758485,0.5766393793790302,-0.09821515359984256,-0.27124481802888295,-0.14659498198703033,0.5017815142631648
1976-07-01,-0.24996108687178556,0.3016191463297153,0.44075435344085534,0.46326336391923617,0.01975229257892508,-0.25821918991648307,-0.18794130635351286,0.4707324268730495
1976-08-01,-0.19106825700470773,0.32939987158488315,0.4387672139411588,0.47188822341393366,0.07730319151254994,-0.27351818502215564,-0.2674538263669247,0.41468176794126277
1976-09-01,-0.19635437836747238,0.36135405507293616,0.4148051337976315,0.4118611557057772,0.12661578750719316,-0.2788681827744946,-0.26031386055491,0.42090028961333803
