,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
1978-01-01,-9.625758221777599e-18,0.07169667217474116,0.24626520862095042,0.04016943101898897,1.1415875121401927e-17,4.85934111432008e-18,4.3400761546115666e-18,0.6418686881853195
1978-02-01,5.3434534342872096e-17,0.06524832930786269,0.28218957074993256,1.952939391423949e-18,3.1416429000859897e-17,2.737268201330788e-17,1.1792163724664371e-17,0.6525620999422046
1978-03-01,-1.6905301605862798e-17,0.1095130108328123,0.26627866932434735,-1.8020360946520305e-17,-2.8373611557492517e-17,-1.713965549742852e-17,-6.839945839739917e-18,0.6242083198428405
1978-04-01,8.873565218565684e-18,0.08046153639120628,0.26094079025090666,-6.4954551863482416e-18,-1.1925510070015142e-17,-1.828706824196919e-17,-5.346872920304211e-17,0.6585976733578872
1978-05-01,-1.659345423961225e-17,4.219869748432654e-17,0.2489428798967655,-4.228156153037423e-18,-4.234281055530869e-18,-2.16701678700744e-17,-2.113168902368216e-17,0.7510571201032346
1978-06-01,-7.340938857791717e-17,0.03082183055699543,0.21587055165719085,0.04684188767662092,2.3583798319210042e-17,-7.366339730247453e-17,-1.5438392904827286e-17,0.7064657301091929
1978-07-01,8.725180802429957e-17,0.05045798729722387,0.21908432224792806,-2.5025639633471834e-18,-1.4178345015411636e-17,5.0677750930294236e-18,-4.763372038541624e-17,0.7304576904548481
1978-08-01,2.5416933317027985e-17,0.005234573460588967,0.21529815895186594,-3.703667079935798e-18,1.4382292964493996e-17,3.855399291456517e-17,-2.8579129063059515e-17,0.779467267587545
1978-09-01,-2.978496568454153e-17,0.02940638805154245,0.207712202460584,-1.2860674529054382e-17,-1.523475792601571e-17,1.7621797085603663e-17,-1.44491852406719e-17,0.7628814094878736
1978-10-01,3.165806189402192e-17,0.03169131160042052,0.2304226740038564,6.5474742129029646e-18,-2.9615851481391872e-18,3.77888081229895e-18,-2.6306912832506866e-17,0.7378860143957231
1978-11-01,1.0402654675338297e-16,0.06175636546725059,0.19868959109050405,-3.626286249496387e-17,2.300509628855931e-17,1.811093927384755e-17,2.919870586233241e-17,0.7395540434422453
1978-12-01,1.8398038060452525e-17,0.08057901227902745,0.17847478820663462,2.2762995943893023e-17,-7.483564601663035e-18,1.9584941276950484e-17,1.9881585513996405e-17,0.7409461995143379
1979-01-01,7.157462335126109e-17,0.223812916342461,0.08005702233951036,-4.178884061177624e-18,-6.96983778687371e-18,4.181580395899262e-18,6.008057034204398e-17,0.6961300613180286
1979-02-01,-1.4172586977110846e-17,0.14551442722720698,0.1577687598589458,1.444678505368286e-17,7.079365449073137e-18,3.436986838396602e-17,-7.433660535313359e-19,0.6967168129138471
1979-03-01,-1.00917284919624e-17,0.1403601044516156,0.19760127039957062,-4.7618101612884824e-17,1.8224651235681873e-17,-8.771879204312213e-18,1.8423355391314685e-18,0.6620386251488138
1979-04-01,1.6099580153183298e-17,0.14827738844496569,0.20018029183387107,0.03789536702245003,-1.1088730961203032e-17,-1.6095103905220943e-17,-1.6040312885223112e-17,0.6136469526987132
1979-05-01,1.398981991274348e-17,0.2163658873201396,0.13500647968734902,0.0942250646300754,-4.2538517056351023e-19,-2.561306666706779e-18,-2.3396768703498706e-17,0.5544025683624362
1979-06-01,-2.865638547965211e-17,0.1270613588632464,0.16206175133149314,0.13438057318922814,1.177053031194245e-17,1.0613514729689896e-17,1.2785505528308428e-17,0.5764963166160324
1979-07-01,-7.400316764822601e-17,0.15007463329463222,0.13982528344975648,0.17636539966415346,-5.729536000314763e-18,-1.0407409940407364e-17,-7.686991612570448e-18,0.5337346835914579
1979-08-01,2.4091872663411266e-17,0.1712168550893264,0.1372286704231596,0.15439312025721263,-1.0110255041166902e-17,-2.4936181229112993e-17,-3.323415806560149e-17,0.5371613542303014
