,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
1976-01-01,1.7067881502285035e-18,0.1545854425459227,0.010798701935926507,0.36114570150839276,0.059900194020859936,2.977401207357511e-17,-1.1546208894051837e-18,0.4135699599888981
1976-02-01,2.3120460578387267e-17,0.17619138036146464,0.001233122866847559,0.266057544620038,0.1548152502683111,4.494614058436229e-18,-2.575453368978095e-18,0.4017027018833388
1976-03-01,-1.6048011906660363e-17,0.1860925077016966,0.009192301097589438,0.3038795781990648,0.10035117326628817,-5.701998502711325e-18,2.432442923640108e-18,0.4004844397353611
1976-04-01,-2.070687305937514e-18,0.20438698426087396,0.0010923172331367254,0.277332292447358,0.13332293538473922,-6.826155100124741e-18,-9.023236907787576e-18,0.3838654706738921
1976-05-01,-4.184764421337797e-18,0.08078841716234819,0.03838798855198092,0.3859521913256881,0.04022047414378767,-1.1016991489222924e-17,1.1887126041005408e-17,0.4546509288161952
1976-06-01,-2.97996848105692e-17,0.12016838637371098,5.22809859946531e-17,0.45367655544700985,-1.216777636733839e-17,-2.921614360010425e-17,-8.614504132536992e-18,0.4261550581792792
1976-07-01,1.5622253331920335e-17,0.1279155638269717,-1.3929829254084647e-17,0.3928103824819891,0.05844721010112147,1.1746850799893572e-17,-4.0300135954481225e-18,0.4208268435899178
1976-08-01,1.8901494850319084e-17,0.13108837882691068,5.120412815503153e-18,0.37257571278024754,0.07602895393742777,-1.1717286380025809e-17,-2.0481065857455216e-17,0.4203069544554141
1976-09-01,3.553153106456145e-18,0.1274165737380255,8.557860202357072e-18,0.35306232332091775,0.08078364323773882,-9.235853431897911e-18,-1.2682999865385736e-18,0.43873745970331796
1976-10-01,-9.511211547886735e-19,0.1601378814266784,5.665470683810881e-18,0.30930552794563676,0.09998886871789672,2.99926171046678e-17,-2.6822976750599644e-17,0.43056772190978815
1976-11-01,3.1078313656771868e-18,0.1459559108761599,-7.281701951703335e-17,0.29371345750100986,0.1398141626762862,5.371233949308912e-19,1.23848814816396e-17,0.4205164689465441
1976-12-01,5.0247020666623417e-17,0.19238761819414069,0.0378345865107393,0.1300446245934126,0.22241372235491705,2.3562451251249923e-17,-1.049525545510969e-18,0.4173194483467904
1977-01-01,2.4783166014290015e-17,0.22684865559791426,0.025187429131168677,0.12007146350087512,0.2139515060378925,-6.8003229015310125e-18,7.70253392746219e-18,0.41394094573214946
1977-02-01,-4.0276218905302795e-17,0.23068701411639136,0.022196282827341797,0.13824717181507135,0.19982510112210944,4.209885659180077e-18,-7.554776644243351e-18,0.4090444301190861
1977-03-01,1.0485375611610596e-17,0.2150879364912459,0.02340248754320344,0.14698164252006113,0.1914628128671138,-6.566107394305562e-18,1.215506287458512e-17,0.4230651205783757
1977-04-01,-5.1524161737707335e-18,0.23805793445310666,0.020722744042312873,0.1590214593921219,0.17700187641058443,-4.356819334460262e-18,1.3928401124993479e-18,0.40519598570187415
1977-05-01,2.2889195785926482e-17,0.29838150444093176,-3.9681987182148846e-17,0.168817725183934,0.1487644264954922,2.3802888112138875e-17,1.4254081128456412e-17,0.384036343879642
1977-06-01,7.193930838759295e-18,0.2619894356542967,0.005312571075392697,0.1635018240710718,0.17733619300721756,9.540749788811647e-18,-8.033995838434749e-18,0.3918599761920211
1977-07-01,3.663133803295138e-18,0.26072451818494125,-2.8900786893409147e-17,0.17206160529653672,0.18455194613347936,-1.2405453974746022e-18,3.395946510305374e-17,0.38266193038504265
1977-08-01,1.7254343047098646e-17,0.24993801029708948,4.169046076832667e-17,0.15329086992219795,0.2157145248116042,-1.1652772366679307e-17,5.15810077755483e-17,0.3810565949691083
1977-09-01,-1.7575746319181886e-17,0.24880904093273154,0.022332433907131195,0.12355876940647594,0.17042533982083868,-3.82955715255919e-17,-7.355937420618701e-18,0.43487441593282283
1977-10-01,2.392899313103869e-17,0.23342442710475172,0.06856698232455799,0.11230859577556443,0.1618829849796578,3.1749215349350513e-17,3.4194913713360365e-18,0.42381700981546805
1977-11-01,6.993427716767664e-18,0.282034669060002,0.09659877552439794,0.10280157177442467,0.10667811771818887,-3.0571007867748015e-18,9.181391982674085e-18,0.41188686592298657
1977-12-01,5.902883176865005e-17,0.29021869820252777,0.07992208795424299,0.13109945748483862,0.10335363924211548,-3.1788909450738456e-17,2.114144467439176e-17,0.3954061171162751
1978-01-01,-3.326749027315283e-17,0.2929119664794811,0.07775776108058292,0.1614248675660856,0.07644883120747466,-3.0571782968321195e-17,-1.0559747268109162e-17,0.3914565736663759
1978-02-01,-4.16790028319296e-18,0.2729864252542948,0.11825686199067623,0.13925047312039848,0.06002450257129025,1.2822843979064414e-17,4.335711863391402e-19,0.40948173706334023
1978-03-01,-8.851804579738665e-18,0.28423738012373134,0.11789614849087476,0.1421490914005844,0.04694616200200909,1.527845913204146e-17,-1.6142891782200103e-18,0.40877121798280047
1978-04-01,6.2728695377652385e-18,0.2816550656574219,0.1109689300494653,0.15199738225805937,0.04215535842556788,-2.158739779424393e-17,3.0092965201299623e-18,0.4132232636094857
1978-05-01,-2.059992428962021e-17,0.2772320630316303,0.05918105647890449,0.11370231162206765,0.1521908226483205,-4.045128968041633e-17,4.1064054297860196e-18,0.3976937462190771
1978-06-01,-2.5027197033349044e-19,0.2804111566512314,0.05878630431124369,0.1346833767559713,0.13797287518068965,1.762521984076876e-17,-4.5565345267823035e-17,0.388146287100864
1978-07-01,1.5469691493755655e-17,0.2656169157620145,0.08979126375321682,0.11550272788156107,0.14097796457683173,3.7209361370237886e-17,-6.216625104545662e-19,0.3881111280263758
1978-08-01,1.406759685778897e-17,0.2696588876672332,0.0856281706390364,0.11923197761324852,0.1416370640482783,-3.493853590845219e-18,1.4090253552753982e-17,0.38384390003220364
1978-09-01,-2.255990129482969e-19,0.2940443139445367,0.08203414201029946,0.10569552594489111,0.14861927833564054,-1.0371013124359083e-17,-9.997606706194535e-18,0.36960673976463215
1978-10-01,2.4198991316653595e-17,0.3363550775647243,0.0736297484078264,0.11061723135487642,0.13840531527901953,7.658649380376588e-18,-2.5987778257694642e-17,0.3409926273935533
1978-11-01,4.3315540849133424e-18,0.3551083491234878,0.06785131156970087,0.13442402066810674,0.09472427961476133,4.355616507010416e-17,-1.0263088349886576e-17,0.3478920390239433
1978-12-01,-7.561053108184226e-18,0.3626278451861139,0.0007967173491852447,0.2227749023289222,0.09297850005426912,-5.872700227353831e-17,-1.3026974659137324e-17,0.32082203508150964
1979-01-01,5.4039328637293864e-18,0.29211524184821414,0.03292918021625899,0.2123946694460997,0.11901019834424792,-8.01106183652383e-18,3.7695347734919746e-17,0.3435507101451793
1979-02-01,-8.879468281010595e-18,0.2560104963719289,0.05003172714814816,0.18673461793923657,0.16164329038912337,4.2330811645068756e-18,-1.0512472918900492e-17,0.34557986815156305
1979-03-01,4.638813013318568e-19,0.2573442914576961,0.04588116592489138,0.2386075769800502,0.13038762300774112,1.4748009668645143e-18,-5.916736272615336e-17,0.3277793426296213
1979-04-01,1.4988259851984731e-18,0.22939558256358936,0.06437978237895808,0.24242100205733155,0.14132804606082763,-2.3492396162215257e-18,-1.301223728661342e-17,0.32247558693929346
1979-05-01,9.622157370536812e-18,0.21962838494410164,0.051198690144224714,0.2906599720714128,0.07570727073799102,-6.975598009343644e-18,4.5480448352122984e-17,0.3628056821022699
1979-06-01,-1.5821348707664339e-19,0.24075404059074926,-1.0087498973970043e-17,0.33700104267721925,0.06459064859184944,2.00089090147772e-17,5.105664517157249e-19,0.35765426814018214
1979-07-01,1.3689157338295629e-17,0.23077052929322395,-3.147507282679572e-17,0.3430866236994295,0.06517041102570059,-6.307560163117574e-18,7.311194957578688e-17,0.3609724359816461
1979-08-01,2.2825794048211654e-17,0.26248828980945743,-2.3914410166422523e-17,0.29959230592805475,0.10096377324400604,3.729709652649776e-17,1.591062363301416e-17,0.33695563101848186
1979-09-01,-3.021351678767344e-18,0.2672903711088298,1.4379559147928574e-17,0.29664132568304535,0.09890491286198647,-2.369257248824087e-17,-3.151508636632411e-17,0.33716339034613846
1979-10-01,1.4813276488998484e-18,0.2667891854160835,1.400415958691257e-17,0.3096077052413208,0.057921536439680746,-2.1197880597518126e-18,9.898650438858576e-17,0.3656815729029148
