,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
1978-01-01,-2.3426782344210454e-17,0.17773168499024744,0.11556835362411326,0.16293756468717424,0.09259202021602782,1.041753947035014e-18,-2.7690170260241952e-19,0.45117037648243724
1978-02-01,2.115082056487807e-18,0.17239789081827028,0.1450048424478829,0.06610503647718947,0.15979804402650738,-2.605265146076868e-17,2.667691389076592e-18,0.45669418623015007
1978-03-01,1.1114120397787089e-17,0.19990672842681417,0.16228191019296706,0.06960978948940956,0.10940334183194488,1.2051561281858074e-17,-1.8392686131336598e-17,0.4587982300588644
1978-04-01,-8.038307461372058e-19,0.18974184503050592,0.16319469432959333,0.06949526470792788,0.1070507948875919,-1.8395056634425056e-17,-6.150732412724641e-18,0.47051740104438095
1978-05-01,-1.919491688370747e-17,0.10299955222765718,0.14276950670889502,0.08773152874320236,0.15833592755340745,-9.076965988488723e-18,-1.8780577754117647e-17,0.508163484766838
1978-06-01,2.563522224217783e-17,0.15654841999745658,0.0946675048247565,0.16642308253916233,0.10692575612114835,2.571195090172057e-18,-3.0801722883819017e-17,0.47543523651747627
1978-07-01,1.0847680362883959e-17,0.16961542085224574,0.08993787176015516,0.12257881789452534,0.14209175950106848,8.259892763192258e-18,1.1718303591285916e-17,0.4757761299920053
1978-08-01,-6.000255262664141e-18,0.15704810215799198,0.10090744750906454,0.10806205635679936,0.1381527122575879,8.017287532941192e-18,4.7080230710716856e-17,0.49582968171855624
1978-09-01,1.272188830308236e-17,0.17015999159551912,0.09757295974714428,0.11652977136424567,0.12226105067112912,1.0229996296575863e-17,2.3968564955741976e-17,0.4934762266219618
1978-10-01,9.41469170146175e-18,0.1702704997359411,0.1381883475756165,0.08160696403391786,0.10629562199862412,1.8148123439980023e-17,-7.723254973366538e-19,0.5036385666559003
1978-11-01,2.793908429766731e-17,0.18529750663558256,0.1363163248734155,0.08914824103445117,0.07764605110041081,5.604504834966418e-17,1.7689768986337973e-18,0.5115918763561399
1978-12-01,7.627393972700528e-18,0.19922303899983973,0.0973980894080261,0.16909803279922161,0.036401981919276176,4.2577954707652307e-17,4.016394201914259e-17,0.49787885687363637
