,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1978-01-01,0.46139152570017217,0.17297883445008633,0.42416994560191146,0.48030666411373335,-0.2254614815366499,0.8471827792921423,-0.14990271036773883,0.022277217619397327,0.05514121029441166,-1.0880839851674668
1978-02-01,0.5651858749737166,0.17125133642246237,0.3972405537906232,0.49596222424838365,-0.21412848129782613,0.8843818308419157,-0.16131183030508955,-0.004717182369727235,0.009050919337994234,-1.142915245642452
1978-03-01,0.5783212132328677,0.17462777031723353,0.38699998971460214,0.4813975559406293,-0.2592121389811881,0.8756251879799963,-0.18177384363251425,0.022745184311273037,-0.011070905900510353,-1.0676600129823886
1978-04-01,0.4932335257501501,0.14200654350991526,0.2790364547849422,0.49360849772716087,-0.15652938397647165,0.866108703059356,-0.12645789690162523,0.009198129546018341,-0.0836859688113259,-0.9165186046881206
1978-05-01,0.5696924945617301,0.0782482043069912,0.3587284687792254,0.4101813078400113,-0.15623975703475423,0.8321113336038692,-0.16930132164182288,0.012696076369537568,-0.047259641068696345,-0.8888571657160902
1978-06-01,0.45027676890892643,-0.004577384825008801,0.3064293980481274,0.31346142294350376,0.003818934584040923,0.8897709179678573,-0.183558998068031,-0.021010958850228967,-0.0022879294529536964,-0.7523221712562322
1978-07-01,0.3290042132680684,0.0015386217067787644,0.34900186953155554,0.2996914397572067,0.005780514025247818,0.8577134900732385,-0.15794623530392649,0.0052882048066021925,0.025849971810310235,-0.7159220896750826
1978-08-01,0.48187898396085416,-0.08259102319040479,0.3373178132899519,0.2950179027033982,-0.006734781370649756,0.9054838356682725,-0.17640427167410833,-0.026434453050124596,-0.04028143994422101,-0.6872525663929672
1978-09-01,0.5061064691217423,-0.028441873162627807,0.5031187382058926,0.3050360297055871,-0.12339714451100936,0.9542237795512131,-0.24313488907614778,-0.043091663220118925,-0.019537469991095846,-0.8108819766234368
1978-10-01,0.4157253805606178,-0.0509269928109507,0.5868889994761668,0.23323053872019117,-0.0885433817496748,1.05373524182588,-0.28711215506210586,-0.07263578984872221,-0.002551178077802141,-0.7878106630336004
1978-11-01,0.40992588291757937,-0.06876327202493004,0.5814974376423678,0.24401578716315386,-0.07580256921778528,1.0551444095114557,-0.2800659285330709,-0.07123333905076151,-0.013876764813861908,-0.7808416435941465
1978-12-01,0.45942797189725315,-0.07651764208986711,0.5146769560514133,0.26429801343124304,-0.009856572677623188,1.047301523153717,-0.29379603473998817,-0.08035920739499913,-0.037343880266903606,-0.787831127364246
1979-01-01,0.4335697891952135,-0.07026374700042326,0.5593654987282339,0.2587609189416762,-0.015045829466355132,1.0101252355661834,-0.2961906572347459,-0.08671362013032335,0.0020229669186864196,-0.7956305555181451
1979-02-01,0.21068943549295183,-0.10471874624665001,0.6667166937830071,0.1641475939204331,-0.03143694122134488,1.1561860478734527,-0.29681694726782304,-0.07126463028749447,0.04857361614195849,-0.7420761221884911
1979-03-01,0.12523591981919724,-0.0371409518559781,0.7318103258209163,0.21561588217692806,-0.09025735542107438,1.1253660850078864,-0.30793854125457676,-0.05552678409408984,0.04123895781415099,-0.7484035380133611
1979-04-01,0.22008697071540073,-0.04818597485190235,0.6353955107303904,0.2490942551733084,-0.049444202730742015,1.0849109357284292,-0.3252502843967888,-0.07064757066931698,0.053022558576705514,-0.7489821982754832
1979-05-01,0.19730090098078978,-0.007067840739012676,0.4781796285706621,0.22189951864250945,0.039208448853988775,1.1221485373487106,-0.3920020739123595,-0.08272277249063814,0.04693159591306595,-0.6238759431677166
1979-06-01,0.19645735645924933,0.0044809822681430855,0.40816951548128344,0.25351955877306065,0.027549765143803473,1.114750577633897,-0.3999732129416478,-0.08142060558735353,0.001812506823956339,-0.5253464440543907
1979-07-01,0.0907174245277762,0.02811176631694834,0.4617607958297172,0.2264267532547457,0.07325293968112367,1.115002056392478,-0.42275627723147347,-0.10733324927599253,0.010520456656955224,-0.47570266615227896
1979-08-01,0.32990056933743617,-0.1413792555184521,0.47004815046997406,0.29520105551295084,0.060068885276831185,1.0906393237733587,-0.379205267750109,-0.13645582359993885,0.04469921659152565,-0.6335168540935767
1979-09-01,0.27162944397022315,-0.0858532033230629,0.43765947925267623,0.3807769196908015,0.06498923755547281,1.0448779445469516,-0.3514490132336543,-0.1371376252284195,0.03726481753498373,-0.6627580007659717
1979-10-01,0.40428311134571926,-0.0788372389856713,0.46243902359536504,0.46253029574466553,0.04786206604101029,1.0697824362373747,-0.3853382227525399,-0.16635045491056577,-0.06501707116218608,-0.7513539451531714
1979-11-01,0.43396776178443375,-0.14960097632595482,0.5195217767639733,0.46012123256907755,0.038055297660923415,1.0520134411867743,-0.39143687115702175,-0.17957455380707038,-0.03151783955462417,-0.7515492691205123
1979-12-01,0.4927268611816422,-0.13897907518865582,0.5593855846772344,0.4602321178634955,0.004691561428265212,1.0138758748705836,-0.41241674198686207,-0.18537799528711413,-0.05795260783479511,-0.7361855797237942
1980-01-01,0.4609742560329204,-0.11891436680042766,0.6126003859933276,0.5331964413586993,-0.062115635831383464,0.981482350085074,-0.3718020821804635,-0.19023424848124637,-0.0503821299122762,-0.7948049702642248
1980-02-01,0.38821775290036364,-0.07854908539862732,0.5636791841115558,0.5417830096855344,-0.01306803970970316,0.9842876422425838,-0.4014620362001877,-0.20551228393190568,-0.015893039345357685,-0.7634831043542565
1980-03-01,0.5972859484537523,-0.10780398338173369,0.438990756930949,0.530772504922667,-0.08429753719450739,1.0645974968731071,-0.4036891151540076,-0.12846581377922278,-0.02072390223198145,-0.8866663554390222
