,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
1975-01-01,-0.46030443435017476,0.12286725737777249,0.6624996050161257,1.164811026889137,-0.47897667298185564,-0.898792840804535,-0.10396326413297452,0.9918593229865058
1975-02-01,-0.40589339892346754,0.19418941899513498,0.6396317095198324,0.6380890232599199,-0.14880799228867803,-0.4479152327468702,-0.16090348397376958,0.6916099561578983
1975-03-01,-0.3138050898797941,0.2985545195728285,0.47391043993951665,0.4786223828166041,-0.11365140106505733,-0.28527666287315206,-0.19778445878079404,0.6594302702698482
1975-04-01,-0.3402456969160427,0.24453506634511024,0.4715070615085093,0.39509226551905674,-0.03283613090416204,-0.3383398369461988,-0.07045265676120444,0.6707399281549324
1975-05-01,-0.5932235066856737,0.09338691328472182,0.6337448966082466,0.5734233391642332,-0.17838149670672898,-0.28845640188953003,-0.08741166093466324,0.8469179171593938
1975-06-01,-0.5039392876714511,0.12593153671025847,0.5027211931488071,0.6469241322486536,-0.13536507281942312,-0.24771579359455692,-0.1335876462361,0.7450309382138116
1975-07-01,-0.4919003362194513,0.15232008406164232,0.497951335025612,0.5306329098343612,-0.006784983023237379,-0.2801334235664765,-0.12657708879965346,0.7244915026872033
1975-08-01,-0.6334727783035871,0.16613099658528885,0.5631788270401663,0.6734707545709577,-0.1820096206421744,-0.3074436388199638,-0.10786843908876789,0.82801389865808
1975-09-01,-0.5444168623435709,0.11039623589679048,0.3475892320031906,0.7248404896323823,-0.24408935585105684,-0.1692629753008299,-0.03104739958213326,0.8059906355452271
1975-10-01,-0.5136217223341557,0.21876925379174472,0.32205051559470743,0.5590390695577723,-0.13411656621736623,-0.1668906128960676,-0.04452625873773064,0.759296321241097
1975-11-01,-0.5138000584343139,0.24565026386952504,0.41472735063665933,0.45313560834972366,-0.07594892238702466,-0.17728270450033629,-0.10086159298348496,0.7543800554492517
1975-12-01,-0.5679479254768635,0.26380077508513744,0.5561280775657074,0.517297480417672,-0.28272546066823834,-0.15258192186724615,-0.14370021400596167,0.8097291889497925
1976-01-01,-0.5901431170241689,0.33709372712876107,0.6261550556724513,0.5066045018609804,-0.37601704666035474,-0.14663581793495775,-0.19841552278843777,0.8413582197457257
1976-02-01,-0.588587678866409,0.2987185664751095,0.6001857212254129,0.5313005314059883,-0.35252674360697234,-0.13482100354345228,-0.1988483142470819,0.8445789211574043
1976-03-01,-0.6276080793901231,0.2537690724591788,0.5985714888171365,0.6575008872889475,-0.46247201283867634,-0.1382649475928596,-0.13874171503162863,0.8572453062880244
1976-04-01,-0.6470300581798087,0.2858849613604335,0.5977336945325468,0.6432578577226961,-0.4415012532026059,-0.1541523192862958,-0.13255769531090056,0.8483648123639347
1976-05-01,-0.7024832513025963,0.3665983115404998,0.6212425741790429,0.7915478469836646,-0.6015655008267562,-0.16779854923332577,-0.17415790634108036,0.8666164750005512
1976-06-01,-0.5597661229644948,0.2258744816945133,0.754176245251895,0.7827200293998928,-0.4931472950673599,-0.2728473565998357,-0.269165487112286,0.832155505397675
1976-07-01,-0.4251085837144054,0.2294762988864789,0.6390118377521569,0.6335621743673724,-0.2725746321414675,-0.2579947128660304,-0.2732214438478819,0.7268490615637766
1976-08-01,-0.3324563893179563,0.20445500695395213,0.6422688018284549,0.5475061603582514,-0.09527360059700851,-0.3033926455121246,-0.3414294815121985,0.6783221477986288
1976-09-01,-0.37088183191221347,0.20432665983055487,0.6513224204714451,0.5108736388734492,-0.15371216474631066,-0.3201467750145935,-0.322877180567125,0.8010952330647936
1976-10-01,-0.41775296944786156,0.21731818673268566,0.7136420532341967,0.47667767780585324,-0.13767464472831148,-0.36769867895328767,-0.2862155128421495,0.8017038881988748
1976-11-01,-0.6265415529229919,0.23881066085899372,1.0076847050180788,0.5431691819941193,-0.2413062013856111,-0.4796604985263808,-0.3468498286076249,0.9046935335714175
1976-12-01,-0.41726924233259904,0.3708577058168381,0.7826944384255464,0.1204405589184071,0.15093783324698795,-0.36288479830361353,-0.3441475148239742,0.6993710190524065
1977-01-01,-0.429791407958724,0.33126667822991807,0.7807554850191811,0.14435205929009948,0.10086277682437927,-0.3368441709203255,-0.3143996528241171,0.7237982323395883
1977-02-01,-0.4330133598330424,0.3502795126689109,0.7058964162303125,0.19932802785427745,0.03997865830919345,-0.24091732471121194,-0.3212497894653162,0.6996978589468765
1977-03-01,-0.39677702188112135,0.3222139493330136,0.676189357668991,0.22440346146143197,0.029524179173616938,-0.22001610927192883,-0.3463312978035027,0.7107934813194995
1977-04-01,-0.3947094730769807,0.3797957666877452,0.780549536313857,0.33044862670347697,-0.047930478066771975,-0.1997505784956501,-0.5335241722433984,0.6851207721777217
1977-05-01,-0.519148628702451,0.5257544681371787,0.9397943686145467,0.34500464148908927,-0.12600608635620714,-0.2096218323540458,-0.6744621380946139,0.7186852072665038
1977-06-01,-0.48748954611675016,0.4930000540535431,0.727973509268576,0.2720133676183966,-0.002813235062461228,-0.17138976181745952,-0.4952848027705369,0.6639904148266917
1977-07-01,-0.44465615133631525,0.3925041876400207,0.7333674715837757,0.20348846427739176,0.07009106254898745,-0.169210238507298,-0.40986978956832765,0.6242849933617652
1977-08-01,-0.4547550832043372,0.42136293182207385,0.7471653541815058,0.23079737603453565,0.07315856586632119,-0.16977937531039763,-0.44902781196208236,0.6010780425723804
1977-09-01,-0.3303433623085946,0.40186076138301385,0.6341286663990153,0.08500655519142586,0.09830937208071733,-0.1312600357217324,-0.33940376516316584,0.5817018081393202
