,Phi_AA
1975-01-01,0.6637112055285032
1975-02-01,0.6873028093655558
1975-03-01,0.6967838153551963
1975-04-01,0.6972834885267122
1975-05-01,0.6896076506749401
1975-06-01,0.7020287890105346
1975-07-01,0.7023919101551155
1975-08-01,0.6879921545448741
1975-09-01,0.6945513119038726
1975-10-01,0.6952337503356376
1975-11-01,0.6924800843073144
1975-12-01,0.6838050593638935
1976-01-01,0.6781187613302957
1976-02-01,0.6794584454280065
1976-03-01,0.6776107593032242
1976-04-01,0.6762411531243447
1976-05-01,0.6700461341854395
1976-06-01,0.6754485276779935
1976-07-01,0.6892491291717824
1976-08-01,0.6948848576609106
1976-09-01,0.6877298675845782
1976-10-01,0.6821266478847623
1976-11-01,0.666320715576461
1976-12-01,0.6840170383236585
1977-01-01,0.6865851283989294
1977-02-01,0.6903772097422222
1977-03-01,0.6955594105562293
1977-04-01,0.6904147152538516
1977-05-01,0.6760251802681606
1977-06-01,0.6871667061036658
1977-07-01,0.6939294307855897
1977-08-01,0.6924528626540941
1977-09-01,0.703199176014784
1977-10-01,0.6972382147846237
1977-11-01,0.6894614582981642
1977-12-01,0.6754071377214127
1978-01-01,0.6763458599551216
1978-02-01,0.6747621981457848
1978-03-01,0.6822267586504442
1978-04-01,0.6820757352514154
1978-05-01,0.6955377275515463
1978-06-01,0.6951154135542079
1978-07-01,0.6852527875527314
1978-08-01,0.6911075782433748
1978-09-01,0.6691353917864578
1978-10-01,0.7026646895349029
1978-11-01,0.6852823397855474
1978-12-01,0.7194301375485982
1979-01-01,0.7104989578036256
1979-02-01,0.7119624897545647
1979-03-01,0.7159471193956886
1979-04-01,0.7138384571001362
1979-05-01,0.7219149031009571
1979-06-01,0.7285910640967526
1979-07-01,0.7385337676937291
1979-08-01,0.753937292171907
1979-09-01,0.7626667473941569
1979-10-01,0.7609972511545994
1979-11-01,0.7467097561807258
1979-12-01,0.7510546366418531
1980-01-01,0.7477423274883845
1980-02-01,0.7655903515871133
1980-03-01,0.7713577655676056
1980-04-01,0.7651159597277291
1980-05-01,0.7611375212855082
1980-06-01,0.7566363615698063
1980-07-01,0.7556294950853766
1980-08-01,0.7726777046404166
1980-09-01,0.7747712724592969
1980-10-01,0.7693432445631424
1980-11-01,0.782046181828902
1980-12-01,0.7850823195576527
1981-01-01,0.781137659580131
1981-02-01,0.7852030864077254
1981-03-01,0.796097969143485
1981-04-01,0.7886268268731041
1981-05-01,0.7860636322140543
1981-06-01,0.7725605593881054
1981-07-01,0.7721188547078224
1981-08-01,0.7832161043662663
1981-09-01,0.774817510865304
1981-10-01,0.7849853022965624
1981-11-01,0.7771170406891109
1981-12-01,0.7722675625054142
1982-01-01,0.7792465054840151
1982-02-01,0.7871334809262139
1982-03-01,0.7945471480688588
1982-04-01,0.7961229298373143
1982-05-01,0.7947286912689845
1982-06-01,0.7938406736359395
1982-07-01,0.794505443877024
1982-08-01,0.795048093857108
1982-09-01,0.7971658777220655
1982-10-01,0.7995529894598635
1982-11-01,0.7942800484385343
1982-12-01,0.7896729784345935
1983-01-01,0.7887767178217667
1983-02-01,0.7882293820002191
1983-03-01,0.781722737942999
1983-04-01,0.7835899366278456
1983-05-01,0.7881718150913763
1983-06-01,0.7832491812904306
1983-07-01,0.7807979639775392
1983-08-01,0.7827259566922393
1983-09-01,0.7791617549296227
1983-10-01,0.7682970722901772
1983-11-01,0.7722004000013442
1983-12-01,0.7809248629368422
1984-01-01,0.773457574754208
1984-02-01,0.7748020073315376
1984-03-01,0.7785801665010054
1984-04-01,0.7707780454990534
1984-05-01,0.7690998828012402
1984-06-01,0.7740012885752733
1984-07-01,0.7702087571349069
1984-08-01,0.7647500091894742
1984-09-01,0.75876912776428
1984-10-01,0.7485453381938698
1984-11-01,0.757945145608043
1984-12-01,0.7436026828487149
1985-01-01,0.7440611917316208
1985-02-01,0.7449035357469681
1985-03-01,0.7297998772402016
1985-04-01,0.7619750018209547
1985-05-01,0.7686621532804873
1985-06-01,0.7654856638716959
1985-07-01,0.7620728672020016
1985-08-01,0.7670552726030492
1985-09-01,0.7744233171390613
1985-10-01,0.7750250811961519
1985-11-01,0.7809768331434775
1985-12-01,0.7800187918598656
1986-01-01,0.7809593495517613
1986-02-01,0.782511652243133
1986-03-01,0.7751440728691315
1986-04-01,0.7660839847844407
1986-05-01,0.7697679207159781
1986-06-01,0.7628932405243145
1986-07-01,0.750078160128149
1986-08-01,0.7426586381311485
1986-09-01,0.7326176477549923
1986-10-01,0.7423587681191207
1986-11-01,0.7547771042687839
1986-12-01,0.7468872078824706
1987-01-01,0.7529936115307574
1987-02-01,0.7549528300722842
1987-03-01,0.7622702053019506
1987-04-01,0.7597113488388139
1987-05-01,0.7564874423325875
1987-06-01,0.7624263255794678
1987-07-01,0.7728381408167709
1987-08-01,0.7765996136062505
1987-09-01,0.7675871953359873
1987-10-01,0.7641076431232918
1987-11-01,0.7089710762520329
1987-12-01,0.7106416887890914
1988-01-01,0.7170547738764111
1988-02-01,0.7139146872592993
1988-03-01,0.7075194568312001
1988-04-01,0.7044975189701902
1988-05-01,0.6981005200741875
1988-06-01,0.6962566273791054
1988-07-01,0.7065636202410153
1988-08-01,0.7042700859402468
1988-09-01,0.7050802850297151
1988-10-01,0.7059729322422975
1988-11-01,0.7000990329991047
1988-12-01,0.6900558203229058
1989-01-01,0.6973156789794278
1989-02-01,0.7123472734628903
1989-03-01,0.7123110990497009
1989-04-01,0.721208316133986
1989-05-01,0.7252477692579108
1989-06-01,0.730848797600776
1989-07-01,0.7362599759940566
