,Phi_AA
1975-01-01,0.9227978709521536
1975-02-01,0.9236197673634821
1975-03-01,0.9307687603475492
1975-04-01,0.9305410446528611
1975-05-01,0.9319943813830923
1975-06-01,0.9305662998026002
1975-07-01,0.9243388853462671
1975-08-01,0.925655657829051
1975-09-01,0.9298380506259248
1975-10-01,0.9326837543281519
1975-11-01,0.9308413024458075
1975-12-01,0.933781570651767
1976-01-01,0.9360411090844314
1976-02-01,0.931722500948446
1976-03-01,0.9339778924033049
1976-04-01,0.9337785200862029
1976-05-01,0.9332474849683025
1976-06-01,0.9280230443303399
1976-07-01,0.9262952931181994
1976-08-01,0.923291382428492
1976-09-01,0.9253797011391949
1976-10-01,0.9310815924320756
1976-11-01,0.9324669837689312
1976-12-01,0.9253070911653763
1977-01-01,0.9241618431134097
1977-02-01,0.92261376863461
1977-03-01,0.9176021505070975
1977-04-01,0.9149018496180051
1977-05-01,0.9180676157939288
1977-06-01,0.9204886165514669
1977-07-01,0.9185790274940896
1977-08-01,0.9201058547837415
1977-09-01,0.9219715129451874
1977-10-01,0.9243837953659467
1977-11-01,0.9314283939303948
1977-12-01,0.9345756756792996
1978-01-01,0.935974022979418
1978-02-01,0.9331234955973278
1978-03-01,0.932202045144382
1978-04-01,0.9330033342170989
1978-05-01,0.9272054955297484
1978-06-01,0.9304055744138199
1978-07-01,0.9263185468222366
1978-08-01,0.9315006489903445
1978-09-01,0.9280023270309545
1978-10-01,0.9380735137419702
1978-11-01,0.9358722521150477
1978-12-01,0.9455351184418563
1979-01-01,0.9586120566074638
1979-02-01,0.9568253950083498
1979-03-01,0.9582820016532714
1979-04-01,0.9595146407770219
1979-05-01,0.9599250995132794
1979-06-01,0.9601736310837666
1979-07-01,0.9621665180661864
1979-08-01,0.9615748574774631
1979-09-01,0.9625851893222437
1979-10-01,0.9641306316220466
1979-11-01,0.962978272433521
1979-12-01,0.9635046592773956
1980-01-01,0.9613730639270553
1980-02-01,0.9601718489883186
1980-03-01,0.9637854242863573
1980-04-01,0.9599089451236719
1980-05-01,0.9600946319157931
1980-06-01,0.960007659547809
1980-07-01,0.9599810996664555
1980-08-01,0.9587857279769773
1980-09-01,0.9575234002347363
1980-10-01,0.9543230251013689
1980-11-01,0.9524005691015301
1980-12-01,0.9517569026222054
1981-01-01,0.9501176113860934
1981-02-01,0.9569819321014913
1981-03-01,0.9569941133364741
1981-04-01,0.9614514193205406
1981-05-01,0.9624073881277863
1981-06-01,0.9576958077126005
1981-07-01,0.9563743160401387
1981-08-01,0.9580312744206813
1981-09-01,0.9622277257104318
1981-10-01,0.965526017028212
1981-11-01,0.9657827040338292
1981-12-01,0.9661465729388206
1982-01-01,0.9653290614999477
1982-02-01,0.9658581129394092
1982-03-01,0.9684869176763684
1982-04-01,0.9683087823049631
1982-05-01,0.9677161464935056
1982-06-01,0.9678684002757239
1982-07-01,0.9655382550195285
1982-08-01,0.9672889205269898
1982-09-01,0.9625125075561514
1982-10-01,0.9606475064009596
1982-11-01,0.953479462697439
1982-12-01,0.9551966996362916
1983-01-01,0.9558006853082945
1983-02-01,0.9531773676814572
1983-03-01,0.9485577070745369
1983-04-01,0.9489928529884234
1983-05-01,0.9539120688405383
1983-06-01,0.9486406382119358
1983-07-01,0.9467558697382741
1983-08-01,0.9501179179377867
1983-09-01,0.9471341800896631
1983-10-01,0.9363745354400964
1983-11-01,0.9390871967988298
1983-12-01,0.9413651437420398
1984-01-01,0.9492312473819225
1984-02-01,0.9515611626541409
1984-03-01,0.951663918979465
1984-04-01,0.9477806703915823
1984-05-01,0.9464731207967589
1984-06-01,0.9470258311689635
1984-07-01,0.9430464039651489
1984-08-01,0.9417446694434575
1984-09-01,0.9381305815933366
1984-10-01,0.9354574925344346
1984-11-01,0.9368124473933086
1984-12-01,0.9375318275245705
1985-01-01,0.938458480912506
1985-02-01,0.9338133934817557
1985-03-01,0.9239942006728533
1985-04-01,0.9332977436837505
1985-05-01,0.9353275262984821
1985-06-01,0.9371483136929966
1985-07-01,0.9372719324333764
1985-08-01,0.9444910247547588
1985-09-01,0.9472916235615079
1985-10-01,0.9512268515883319
1985-11-01,0.954422957761171
1985-12-01,0.9593983095892283
1986-01-01,0.9597316616952196
1986-02-01,0.9592173228180841
1986-03-01,0.9606426879744856
1986-04-01,0.9607841327401645
1986-05-01,0.9630667100093975
1986-06-01,0.9630981154198306
1986-07-01,0.9637684942612581
1986-08-01,0.9642559906695682
1986-09-01,0.9614301154970548
1986-10-01,0.9550595105436617
1986-11-01,0.9568127387733708
1986-12-01,0.9558597557550897
1987-01-01,0.9565005358777248
1987-02-01,0.9517028115587656
1987-03-01,0.943599398046937
1987-04-01,0.9434137921543327
1987-05-01,0.9413661099350545
1987-06-01,0.9363053396774259
1987-07-01,0.9541122690962599
1987-08-01,0.9527445117496625
1987-09-01,0.9511630082782
1987-10-01,0.952931785438151
1987-11-01,0.9404554033744857
1987-12-01,0.9395399088803384
1988-01-01,0.9373336391998043
1988-02-01,0.9272979312370151
1988-03-01,0.9300060858725568
1988-04-01,0.9235591471342985
1988-05-01,0.9243509263271716
1988-06-01,0.9294163508094604
1988-07-01,0.9315056877423837
1988-08-01,0.9269770416974241
1988-09-01,0.9321220682766558
1988-10-01,0.933505817418893
1988-11-01,0.9328761549361795
1988-12-01,0.9328567347730827
1989-01-01,0.9300844220596711
1989-02-01,0.9167962445690505
1989-03-01,0.9121264061786708
1989-04-01,0.9125559150069674
1989-05-01,0.9174087406753242
1989-06-01,0.910191887576384
1989-07-01,0.9264627074748927
